event_slug,meeting_uuid,meeting_id,topic,host_email,start_time,match_reasons,file_id,file_type,file_extension,recording_type,download_url,local_path,download_status,error
unpromptedcon-org,6AybrDfUQd6FbaT2JX2ihw==,88923818522,"Birds-of-a-Feather: Agentic Identity Architecture, Chris Cochran",dr@secwest.net,2026-03-04T20:57:38Z,date_range_only,368ad121-2680-42f1-afac-eda5e0f934a9,TRANSCRIPT,VTT,audio_transcript,https://secwest-net.zoom.us/rec/download/ConsqF_FlhRRz5xkZyRkOkDKT5FyJlARhYRGHsvP4AgZCcmBH-vlkGq9Q0Pp6Sp7Tu5ac90dunkyGCML.8WIHMIjEwBMV3nCk,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T205738Z__88923818522__dr-at-secwest.net__Birds-of-a-Feather-Agentic-Identity-Architecture-Chris-Cochran__audio_transcript__368ad121-2680-42f1-afac-eda5e0f934a9.vtt,downloaded,
unpromptedcon-org,6AybrDfUQd6FbaT2JX2ihw==,88923818522,"Birds-of-a-Feather: Agentic Identity Architecture, Chris Cochran",dr@secwest.net,2026-03-04T20:57:38Z,date_range_only,38cc1ac4-3c4e-4903-9b13-4f9436de8db7,CC,VTT,closed_caption,https://secwest-net.zoom.us/rec/download/Kj0OpG8usLYjg3Oi4XZiXSJ7R2Cw6bfL3K1wOxPt4Ia3Sjr52kMEXpVLh0hZOvfuMRpjAmg7jUrK5ds.FaSJdaiceSDPDN0v?type=cc,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T205738Z__88923818522__dr-at-secwest.net__Birds-of-a-Feather-Agentic-Identity-Architecture-Chris-Cochran__closed_caption__38cc1ac4-3c4e-4903-9b13-4f9436de8db7.vtt,downloaded,
unpromptedcon-org,I3OuXQzbRl+hls7+w934Rw==,83826532500,Stage 1 Late Morning — Agents in Production & Vulnerability Discovery,dr@secwest.net,2026-03-03T18:44:21Z,date_range_only,8621d05e-ea16-46e4-ad0f-ac1e71ceec36,CC,VTT,closed_caption,https://secwest-net.zoom.us/rec/download/yrIX27Yd7YzG_suULFZmgqlWAx7SvxbUwbTlUSNBzZkvVfwC23ZGY1xCrPLfdDxe6OTyP1MgT62aQlgh.BA8x5Ko2tD9hveph?type=cc,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184421Z__83826532500__dr-at-secwest.net__Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery__closed_caption__8621d05e-ea16-46e4-ad0f-ac1e71ceec36.vtt,downloaded,
unpromptedcon-org,I3OuXQzbRl+hls7+w934Rw==,83826532500,Stage 1 Late Morning — Agents in Production & Vulnerability Discovery,dr@secwest.net,2026-03-03T18:44:21Z,date_range_only,bc035032-7a2c-4e21-835c-02530b9062c8,TRANSCRIPT,VTT,audio_transcript,https://secwest-net.zoom.us/rec/download/2LMk0QurXU6DRMcPsEdv0V1634qB7l4uy8X-P-KOiKS6m4Zp1EvqwBy-nfikVnsga21zzv4LpmFoWRZf.QyzWhaOOlmmD55Zw,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184421Z__83826532500__dr-at-secwest.net__Stage-1-Late-Morning-Agents-in-Production-Vulnerability-Discovery__audio_transcript__bc035032-7a2c-4e21-835c-02530b9062c8.vtt,downloaded,
unpromptedcon-org,E7MaKUBER2Cs0wW6dCZZYQ==,86986364381,"Stage 1 Late Afternoon — Threat Intel, Deception & Promptware",dr@secwest.net,2026-03-04T22:51:03Z,date_range_only,0568d846-6c5f-4fa5-b37f-b8c3038ddb56,CC,VTT,closed_caption,https://secwest-net.zoom.us/rec/download/R0OYpQm7iYVqX12gfK8b3A5perqaHOKQgPEzjAaX5ETBh5__LoQSHWK9ZD-PmZASUVdjIGXUK1Yg71n0.nNu9FEn0Aqzf5wNv?type=cc,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T225103Z__86986364381__dr-at-secwest.net__Stage-1-Late-Afternoon-Threat-Intel-Deception-Promptware__closed_caption__0568d846-6c5f-4fa5-b37f-b8c3038ddb56.vtt,downloaded,
unpromptedcon-org,E7MaKUBER2Cs0wW6dCZZYQ==,86986364381,"Stage 1 Late Afternoon — Threat Intel, Deception & Promptware",dr@secwest.net,2026-03-04T22:51:03Z,date_range_only,14e9ad12-0df1-4dde-bfda-9b09261f53f3,TRANSCRIPT,VTT,audio_transcript,https://secwest-net.zoom.us/rec/download/EB1hvHUCiZbV_g_PqHYi9H2_6wE9Ggnokp5seLaJMoxSkq1H-w2Sqaa54Gj0WraVwFnDeAD7ThjRkwJy.8SESjM93ETtOr4ac,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T225103Z__86986364381__dr-at-secwest.net__Stage-1-Late-Afternoon-Threat-Intel-Deception-Promptware__audio_transcript__14e9ad12-0df1-4dde-bfda-9b09261f53f3.vtt,downloaded,
unpromptedcon-org,0yScW50FTv26CWk5nghtIg==,83377163171,"Stage 1 Early Afternoon — Attack Surface & Browser Exploitation, AI Notetakers",dr@secwest.net,2026-03-03T20:49:39Z,date_range_only,4b6c639b-e32c-4852-9132-3d899458bccf,CC,VTT,closed_caption,https://secwest-net.zoom.us/rec/download/ssXYZK_yYoKvb7unVSQD7_1ow_GkzdQRSM6ff76zGTJOvnPvjs4wuBK7Vt6oaSRnlljIriCCihZmG010.WqmJ4UPx1xNP4yHj?type=cc,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T204939Z__83377163171__dr-at-secwest.net__Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers__closed_caption__4b6c639b-e32c-4852-9132-3d899458bccf.vtt,downloaded,
unpromptedcon-org,0yScW50FTv26CWk5nghtIg==,83377163171,"Stage 1 Early Afternoon — Attack Surface & Browser Exploitation, AI Notetakers",dr@secwest.net,2026-03-03T20:49:39Z,date_range_only,6e9e8de3-483f-4e65-8370-3098c4f706c4,TRANSCRIPT,VTT,audio_transcript,https://secwest-net.zoom.us/rec/download/uBxRXPFDjSzkYhaOsmL_mSr1-23y2cjmgi8ZMuDuA1RjQr2ROsrOX93F_gkL1fa0IOy4ypItEasdcOQl.UWidtUsA0DjunDBm,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T204939Z__83377163171__dr-at-secwest.net__Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers__audio_transcript__6e9e8de3-483f-4e65-8370-3098c4f706c4.vtt,downloaded,
unpromptedcon-org,5f9wjTBQR96y7hyn5bkx4w==,89437548757,"Happy Hour: Manish Gupta (Director, Expedia Group) - AI Agent Authentication and Authorization",dr@secwest.net,2026-03-04T00:44:14Z,date_range_only,f3739808-cc15-434e-8f5e-dbbc4ca407b8,TRANSCRIPT,VTT,audio_transcript,https://secwest-net.zoom.us/rec/download/EX4ZZ0koNF0RqMfDAYvJq22CuRpwBqd8g65Ll5_JQMSZobgsED8dg-tBM1ImBacyyBZl3XJbRNIsSrzX.qRvA5wSaYgwqeM1C,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T004414Z__89437548757__dr-at-secwest.net__Happy-Hour-Manish-Gupta-Director-Expedia-Group-AI-Agent-Authentication-and-Autho__audio_transcript__f3739808-cc15-434e-8f5e-dbbc4ca407b8.vtt,downloaded,
unpromptedcon-org,pRzB6OQLQcaSHIu9h2HbEg==,84833379255,Stage 1 Early Afternoon — Securing GenAI at Scale,dr@secwest.net,2026-03-04T21:14:46Z,date_range_only,8056cf4c-125b-4f77-95bd-4d25af4349a4,TRANSCRIPT,VTT,audio_transcript,https://secwest-net.zoom.us/rec/download/3K37S4HTWiJh7A8KNAGUEbMVJnpHeoxxVF7Lg5FMVsdM1WnnfxUYsVhc7l32WqBk_DkkdMyT-nFCmB9U.xvLOBiXorM9OTv14,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T211446Z__84833379255__dr-at-secwest.net__Stage-1-Early-Afternoon-Securing-GenAI-at-Scale__audio_transcript__8056cf4c-125b-4f77-95bd-4d25af4349a4.vtt,downloaded,
unpromptedcon-org,pRzB6OQLQcaSHIu9h2HbEg==,84833379255,Stage 1 Early Afternoon — Securing GenAI at Scale,dr@secwest.net,2026-03-04T21:14:46Z,date_range_only,e7990de7-cfad-45f6-b4db-fe033d3bccc9,CC,VTT,closed_caption,https://secwest-net.zoom.us/rec/download/WdTuIdgeC5gD3G4JLIsh9fr9UN96YEtirBuAKHG0jI8K2pkEbJzfVeIyvOEKZyY-l6bpfVA-h5_NjnBv.Br3o4CuhqTkVDZkJ?type=cc,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-04T211446Z__84833379255__dr-at-secwest.net__Stage-1-Early-Afternoon-Securing-GenAI-at-Scale__closed_caption__e7990de7-cfad-45f6-b4db-fe033d3bccc9.vtt,downloaded,
